legal_dong_code,legal_dong_tip,COL_ADM_SECT_CD,SGG_OID,center_latitude,center_longitude,radius_km,filename
2771033022,묘리,27710,212,35.90740854636957,128.42439792851292,2.247,LSMD_ADM_SECT_RI_27_202511.shp
2771033026,현내리,27710,213,35.90490364944796,128.44430738437896,1.711,LSMD_ADM_SECT_RI_27_202511.shp
2771033027,감문리,27710,214,35.88990322395187,128.43180547605556,2.003,LSMD_ADM_SECT_RI_27_202511.shp
2771025621,이천리,27710,215,35.887821253457744,128.46156327646338,2.132,LSMD_ADM_SECT_RI_27_202511.shp
2771025623,박곡리,27710,216,35.88680030505943,128.49104726709692,1.476,LSMD_ADM_SECT_RI_27_202511.shp
2771025622,달천리,27710,217,35.88818057572598,128.48065009271428,1.078,LSMD_ADM_SECT_RI_27_202511.shp
2771025026,본리리,27710,219,35.77719259531335,128.5306123215588,3.751,LSMD_ADM_SECT_RI_27_202511.shp
2771026222,교항리,27710,227,35.783719264773104,128.4421286127409,3.365,LSMD_ADM_SECT_RI_27_202511.shp
2771025629,부곡리,27710,221,35.86234154203608,128.44352989325054,1.751,LSMD_ADM_SECT_RI_27_202511.shp
2771025021,천내리,27710,222,35.80402603697744,128.50076031615592,1.039,LSMD_ADM_SECT_RI_27_202511.shp
2771026229,본리리,27710,223,35.79415721391016,128.45805724088783,1.906,LSMD_ADM_SECT_RI_27_202511.shp
2771026221,신당리,27710,224,35.80198311129886,128.43338580460272,1.841,LSMD_ADM_SECT_RI_27_202511.shp
2771031021,용계리,27710,225,35.794638450299075,128.6214461381926,2.972,LSMD_ADM_SECT_RI_27_202511.shp
2771031022,오리,27710,226,35.78120930969077,128.59375193162603,3.915,LSMD_ADM_SECT_RI_27_202511.shp
2771031026,상원리,27710,229,35.76902817773048,128.67788917321957,3.626,LSMD_ADM_SECT_RI_27_202511.shp
2771031023,정대리,27710,232,35.74579872614867,128.56256865211085,5.534,LSMD_ADM_SECT_RI_27_202511.shp
2771038031,화산리,27710,2227,35.66342831643774,128.40282630459924,2.104,LSMD_ADM_SECT_RI_27_202511.shp
2771038028,목단리,27710,2556,35.622071606252256,128.40956820283378,1.5,LSMD_ADM_SECT_RI_27_202511.shp
2771038021,창리,27710,2228,35.654886250280015,128.4057275277572,1.814,LSMD_ADM_SECT_RI_27_202511.shp
2771038026,예현리,27710,2545,35.6375150547208,128.4321317426965,1.331,LSMD_ADM_SECT_RI_27_202511.shp
2771038023,고봉리,27710,2546,35.65071455203029,128.43449429960333,1.301,LSMD_ADM_SECT_RI_27_202511.shp
2771031025,행정리,27710,228,35.79028873661715,128.65197127204794,2.281,LSMD_ADM_SECT_RI_27_202511.shp
2771031024,냉천리,27710,230,35.77885173998832,128.63573568115794,1.963,LSMD_ADM_SECT_RI_27_202511.shp
2771026224,송촌리,27710,231,35.766617197839544,128.47185481841834,2.114,LSMD_ADM_SECT_RI_27_202511.shp
2771038022,응암리,27710,2036,35.65109801809852,128.41889433557412,1.702,LSMD_ADM_SECT_RI_27_202511.shp
2771026527,자모리,27710,256,35.692365742783466,128.3876706347019,1.697,LSMD_ADM_SECT_RI_27_202511.shp
2771026528,오산리,27710,257,35.6859239843737,128.40670059782934,1.729,LSMD_ADM_SECT_RI_27_202511.shp
2771026524,하리,27710,258,35.694400679279205,128.44410762378254,0.331,LSMD_ADM_SECT_RI_27_202511.shp
2771038034,오설리,27710,259,35.68091054543074,128.37172406565307,2.076,LSMD_ADM_SECT_RI_27_202511.shp
2771026529,지리,27710,260,35.67741200178414,128.42642075170073,1.734,LSMD_ADM_SECT_RI_27_202511.shp
2771026531,신기리,27710,262,35.66435404276035,128.44040204756078,1.145,LSMD_ADM_SECT_RI_27_202511.shp
2771025931,가태리,27710,263,35.65896491548608,128.48660921719127,2.851,LSMD_ADM_SECT_RI_27_202511.shp
2771038024,가천리,27710,264,35.658191262093595,128.44614155664178,1.543,LSMD_ADM_SECT_RI_27_202511.shp
2771025930,도의리,27710,265,35.66197112095836,128.46025717240505,1.749,LSMD_ADM_SECT_RI_27_202511.shp
2771025323,삼리리,27710,266,35.76800946351339,128.40797571644677,1.815,LSMD_ADM_SECT_RI_27_202511.shp
2771026228,김흥리,27710,239,35.73998374856024,128.4960815247445,2.919,LSMD_ADM_SECT_RI_27_202511.shp
2771025325,상리,27710,240,35.74928426101957,128.41378276090518,2.259,LSMD_ADM_SECT_RI_27_202511.shp
2771025326,하리,27710,241,35.74198657451086,128.43284327395665,2.27,LSMD_ADM_SECT_RI_27_202511.shp
2771025329,본리리,27710,242,35.737056098053564,128.47212027164153,2.393,LSMD_ADM_SECT_RI_27_202511.shp
2771025328,북리,27710,243,35.72993792629147,128.45490660716254,2.05,LSMD_ADM_SECT_RI_27_202511.shp
2771025631,문산리,27710,244,35.85679292011083,128.42715660978965,1.226,LSMD_ADM_SECT_RI_27_202511.shp
2771033028,동곡리,27710,245,35.86659253368791,128.41351092469162,2.281,LSMD_ADM_SECT_RI_27_202511.shp
2771025327,남리,27710,248,35.72613170189491,128.43927359676783,2.341,LSMD_ADM_SECT_RI_27_202511.shp
2771026526,원교리,27710,252,35.687730260139055,128.43407525858328,2.077,LSMD_ADM_SECT_RI_27_202511.shp
2771025630,문양리,27710,246,35.87363479343868,128.434135948375,2.326,LSMD_ADM_SECT_RI_27_202511.shp
2771031032,우록리,27710,247,35.72132067938486,128.63327664805882,3.27,LSMD_ADM_SECT_RI_27_202511.shp
2771025922,양리,27710,249,35.70936060769417,128.5051791379959,3.309,LSMD_ADM_SECT_RI_27_202511.shp
2771025926,초곡리,27710,250,35.71542210896585,128.47372902758417,1.897,LSMD_ADM_SECT_RI_27_202511.shp
2771026525,성하리,27710,251,35.706954344420964,128.43885754236672,1.837,LSMD_ADM_SECT_RI_27_202511.shp
2771025921,음리,27710,253,35.695552390541756,128.48753626125375,1.422,LSMD_ADM_SECT_RI_27_202511.shp
2771026523,부리,27710,254,35.70284425396196,128.4456601318881,0.991,LSMD_ADM_SECT_RI_27_202511.shp
2771038035,도동리,27710,255,35.69655934602905,128.3612267569303,1.884,LSMD_ADM_SECT_RI_27_202511.shp
2771026225,간경리,27710,294,35.80041168264354,128.47134415284674,1.335,LSMD_ADM_SECT_RI_27_202511.shp
2771025324,위천리,27710,267,35.759520284692385,128.3951609185199,1.808,LSMD_ADM_SECT_RI_27_202511.shp
2771025925,쌍계리,27710,268,35.703951333088625,128.46598967786258,1.619,LSMD_ADM_SECT_RI_27_202511.shp
2771025932,한정리,27710,945,35.647170661361315,128.45980570778963,1.464,LSMD_ADM_SECT_RI_27_202511.shp
2771025933,본말리,27710,270,35.64511826627843,128.49092849819857,2.08,LSMD_ADM_SECT_RI_27_202511.shp
2771025022,구라리,27710,272,35.81603954253847,128.49343063512055,2.045,LSMD_ADM_SECT_RI_27_202511.shp
2771025025,명곡리,27710,274,35.783370850997684,128.50492761170167,2.658,LSMD_ADM_SECT_RI_27_202511.shp
2771025625,서재리,27710,276,35.872935288239425,128.49602680395628,1.828,LSMD_ADM_SECT_RI_27_202511.shp
2771033021,하산리,27710,277,35.88753665934798,128.40728958549985,2.19,LSMD_ADM_SECT_RI_27_202511.shp
2771025627,죽곡리,27710,278,35.850172816477986,128.4640593063734,1.542,LSMD_ADM_SECT_RI_27_202511.shp
2771025322,금포리,27710,279,35.77978097134589,128.41880330715256,2.595,LSMD_ADM_SECT_RI_27_202511.shp
2771026223,강림리,27710,280,35.779481880783855,128.43496810582957,1.644,LSMD_ADM_SECT_RI_27_202511.shp
2771025624,방천리,27710,281,35.88156778213154,128.51294755326202,1.82,LSMD_ADM_SECT_RI_27_202511.shp
2771033029,봉촌리,27710,283,35.86467557491509,128.39999601572592,1.81,LSMD_ADM_SECT_RI_27_202511.shp
2771038032,수리리,27710,1985,35.66941360751001,128.39414817332397,1.913,LSMD_ADM_SECT_RI_27_202511.shp
2771038029,대암리,27710,2555,35.62112385203012,128.39322243032726,2.591,LSMD_ADM_SECT_RI_27_202511.shp
2771038027,유산리,27710,2558,35.62821442907165,128.42929461562903,1.045,LSMD_ADM_SECT_RI_27_202511.shp
2771031031,삼산리,27710,287,35.73550165835478,128.6699998875801,2.796,LSMD_ADM_SECT_RI_27_202511.shp
2771025023,성산리,27710,289,35.80855325950156,128.48371378924315,1.476,LSMD_ADM_SECT_RI_27_202511.shp
2771026226,기세리,27710,292,35.772645564610066,128.48732242526282,2.79,LSMD_ADM_SECT_RI_27_202511.shp
2771025024,설화리,27710,293,35.792079412723425,128.4852019148383,2.213,LSMD_ADM_SECT_RI_27_202511.shp
2771038025,평촌리,27710,625,35.643818187026504,128.44758990758734,1.358,LSMD_ADM_SECT_RI_27_202511.shp
2771038033,징리,27710,1921,35.66835721179295,128.37956090319292,1.479,LSMD_ADM_SECT_RI_27_202511.shp
2771026522,중리,27710,297,35.692318464577646,128.45076005895694,1.028,LSMD_ADM_SECT_RI_27_202511.shp
2771025924,봉리,27710,298,35.693945031829266,128.46203714220357,0.809,LSMD_ADM_SECT_RI_27_202511.shp
2771025929,유곡리,27710,299,35.670823157885586,128.4703115016379,2.271,LSMD_ADM_SECT_RI_27_202511.shp
2771026521,상리,27710,300,35.704584147779784,128.45331609126603,1.258,LSMD_ADM_SECT_RI_27_202511.shp
2771025927,상리,27710,301,35.68511322241261,128.4606443911451,0.964,LSMD_ADM_SECT_RI_27_202511.shp
2771025923,용리,27710,302,35.68487504471277,128.4986958931605,3.459,LSMD_ADM_SECT_RI_27_202511.shp
2771025928,금리,27710,303,35.67889909895084,128.45439787555347,1.269,LSMD_ADM_SECT_RI_27_202511.shp
2771025626,세천리,27710,305,35.87381669130012,128.47232124877974,1.833,LSMD_ADM_SECT_RI_27_202511.shp
2771025628,매곡리,27710,306,35.86078113190838,128.45772686197256,2.08,LSMD_ADM_SECT_RI_27_202511.shp
2771026530,대리,27710,1267,35.666314503964585,128.42816705625987,1.63,LSMD_ADM_SECT_RI_27_202511.shp
2771038030,내리,27710,2554,35.637365094004,128.41149523680818,1.386,LSMD_ADM_SECT_RI_27_202511.shp
2772031024,위성리,27720,214,36.2821699254396,128.45357017134265,3.204,LSMD_ADM_SECT_RI_27_202511.shp
2772031025,달산리,27720,218,36.26107862512331,128.44520177116937,3.274,LSMD_ADM_SECT_RI_27_202511.shp
2772031026,송원리,27720,221,36.25664133234292,128.47783610997396,2.075,LSMD_ADM_SECT_RI_27_202511.shp
2772031029,서경리,27720,258,36.24122889094378,128.49951299135355,2.39,LSMD_ADM_SECT_RI_27_202511.shp
2772031032,내의리,27720,212,36.28767450630169,128.50192029101981,3.272,LSMD_ADM_SECT_RI_27_202511.shp
2772031027,신계리,27720,260,36.24528858363164,128.4817204381945,1.276,LSMD_ADM_SECT_RI_27_202511.shp
2772031028,도산리,27720,259,36.2376312739282,128.44858482628243,3.732,LSMD_ADM_SECT_RI_27_202511.shp
2772032025,불로리,27720,284,36.16904541266761,128.5668790187344,1.803,LSMD_ADM_SECT_RI_27_202511.shp
2772032030,장기리,27720,242,36.125214781875734,128.59117066946007,2.594,LSMD_ADM_SECT_RI_27_202511.shp
2772032032,화계리,27720,244,36.1228912797758,128.64235176426206,2.48,LSMD_ADM_SECT_RI_27_202511.shp
2772032033,마시리,27720,230,36.104387949125545,128.61835392211884,2.628,LSMD_ADM_SECT_RI_27_202511.shp
2772032034,매곡리,27720,223,36.07982935252132,128.5905161317574,3.592,LSMD_ADM_SECT_RI_27_202511.shp
2772032035,고곡리,27720,240,36.10337065464145,128.57959410461143,2.569,LSMD_ADM_SECT_RI_27_202511.shp
2772031030,평호리,27720,265,36.20952872836228,128.50227376789803,3.5,LSMD_ADM_SECT_RI_27_202511.shp
2772031031,산법리,27720,289,36.22487190608686,128.5179411133173,2.858,LSMD_ADM_SECT_RI_27_202511.shp
2772025021,동부리,27720,262,36.23204045117926,128.57383856303625,1.687,LSMD_ADM_SECT_RI_27_202511.shp
2772025022,서부리,27720,295,36.234828831833916,128.56475422004544,1.329,LSMD_ADM_SECT_RI_27_202511.shp
2772025023,금구리,27720,268,36.20964629364731,128.57317739466643,1.944,LSMD_ADM_SECT_RI_27_202511.shp
2772025024,무성리,27720,277,36.18722012067985,128.56806481716615,1.765,LSMD_ADM_SECT_RI_27_202511.shp
2772025025,수서리,27720,266,36.20314834095209,128.54678973997503,3.274,LSMD_ADM_SECT_RI_27_202511.shp
2772025026,사직리,27720,263,36.22809457725635,128.54920193577,1.986,LSMD_ADM_SECT_RI_27_202511.shp
2772025027,내량리,27720,219,36.241830301088136,128.53962551725715,2.293,LSMD_ADM_SECT_RI_27_202511.shp
2772025028,외량리,27720,324,36.25812557219479,128.54319857429954,1.847,LSMD_ADM_SECT_RI_27_202511.shp
2772025029,삽령리,27720,326,36.262412208252,128.53328828504993,1.406,LSMD_ADM_SECT_RI_27_202511.shp
2772025030,대북리,27720,209,36.265656937812246,128.55951973168095,1.789,LSMD_ADM_SECT_RI_27_202511.shp
2772025031,오곡리,27720,217,36.26893375377627,128.5822681176241,1.884,LSMD_ADM_SECT_RI_27_202511.shp
2772025032,정리,27720,294,36.25146551518847,128.57113798449825,1.547,LSMD_ADM_SECT_RI_27_202511.shp
2772025033,하곡리,27720,261,36.23428008810574,128.5875875073645,2.035,LSMD_ADM_SECT_RI_27_202511.shp
2772031021,사리리,27720,290,36.314606868662125,128.4573072551498,2.277,LSMD_ADM_SECT_RI_27_202511.shp
2772025034,용대리,27720,264,36.22286997758923,128.60405701831743,2.431,LSMD_ADM_SECT_RI_27_202511.shp
2772025035,상곡리,27720,288,36.255633019466146,128.6011490691993,2.564,LSMD_ADM_SECT_RI_27_202511.shp
2772025036,광현리,27720,256,36.24521390544019,128.62455026568875,2.901,LSMD_ADM_SECT_RI_27_202511.shp
2772025037,대흥리,27720,213,36.28297359565654,128.53859078953457,1.922,LSMD_ADM_SECT_RI_27_202511.shp
2772031022,보현리,27720,210,36.29675672822139,128.43916597849886,3.12,LSMD_ADM_SECT_RI_27_202511.shp
2772031023,복성리,27720,211,36.299190907169525,128.47897554501992,2.095,LSMD_ADM_SECT_RI_27_202511.shp
2772033023,춘산리,27720,222,36.07573706744473,128.65252969104935,3.174,LSMD_ADM_SECT_RI_27_202511.shp
2772033026,남산리,27720,227,36.03056480528736,128.64210916385377,4.044,LSMD_ADM_SECT_RI_27_202511.shp
2772031033,봉황리,27720,215,36.26648329131628,128.50399476614717,3.044,LSMD_ADM_SECT_RI_27_202511.shp
2772031034,봉소리,27720,216,36.264172502531494,128.52135460732154,2.399,LSMD_ADM_SECT_RI_27_202511.shp
2772033021,창평리,27720,234,36.09487267178308,128.6792716830521,3.098,LSMD_ADM_SECT_RI_27_202511.shp
2772033024,대율리,27720,226,36.058144558488586,128.6547243817517,2.259,LSMD_ADM_SECT_RI_27_202511.shp
2772033025,동산리,27720,228,36.03352596987106,128.67284362678913,3.381,LSMD_ADM_SECT_RI_27_202511.shp
2772032021,노행리,27720,267,36.207763773836675,128.6207558867614,2.89,LSMD_ADM_SECT_RI_27_202511.shp
2772032022,오천리,27720,296,36.19251022503105,128.60535818041132,1.643,LSMD_ADM_SECT_RI_27_202511.shp
2772032023,성리,27720,272,36.19405145987956,128.58825201618848,2.323,LSMD_ADM_SECT_RI_27_202511.shp
2772032024,병수리,27720,282,36.173299263102464,128.59591191749146,2.241,LSMD_ADM_SECT_RI_27_202511.shp
2772033028,신화리,27720,239,36.10606107984846,128.65590742984062,3.082,LSMD_ADM_SECT_RI_27_202511.shp
2772034022,이화리,27720,300,36.19122286153664,128.67314676366897,2.702,LSMD_ADM_SECT_RI_27_202511.shp
2772035022,수북리,27720,275,36.19022773183624,128.7176874659366,2.777,LSMD_ADM_SECT_RI_27_202511.shp
2772032026,내리리,27720,248,36.15311534855645,128.55721064583938,2.224,LSMD_ADM_SECT_RI_27_202511.shp
2772032027,중구리,27720,249,36.15315264626456,128.5819395542583,2.317,LSMD_ADM_SECT_RI_27_202511.shp
2772035024,이지리,27720,299,36.164844128538846,128.70010742777046,2.77,LSMD_ADM_SECT_RI_27_202511.shp
2772032028,거매리,27720,251,36.15333993701912,128.60416704954199,1.853,LSMD_ADM_SECT_RI_27_202511.shp
2772032029,장군리,27720,243,36.12960309098047,128.5668257667482,2.395,LSMD_ADM_SECT_RI_27_202511.shp
2772032031,금매리,27720,253,36.134818249634954,128.61705644488987,3.135,LSMD_ADM_SECT_RI_27_202511.shp
2772033022,가호리,27720,224,36.07259701191975,128.67777061493746,3.001,LSMD_ADM_SECT_RI_27_202511.shp
2772033027,명산리,27720,235,36.08978434594119,128.63461951558247,1.871,LSMD_ADM_SECT_RI_27_202511.shp
2772034021,나호리,27720,276,36.18677799366513,128.64126795737732,2.769,LSMD_ADM_SECT_RI_27_202511.shp
2772034023,두북리,27720,246,36.20867872127456,128.65474520464,1.823,LSMD_ADM_SECT_RI_27_202511.shp
2772034024,선곡리,27720,271,36.205234193954034,128.6830447201115,2.031,LSMD_ADM_SECT_RI_27_202511.shp
2772034025,미성리,27720,298,36.17320942909011,128.6678808965691,1.903,LSMD_ADM_SECT_RI_27_202511.shp
2772034027,문덕리,27720,255,36.132428749553505,128.6832435267297,2.286,LSMD_ADM_SECT_RI_27_202511.shp
2772034028,달산리,27720,285,36.15019184493228,128.649548212221,3.755,LSMD_ADM_SECT_RI_27_202511.shp
2772034029,봉산리,27720,297,36.172467372529084,128.62568972161347,2.237,LSMD_ADM_SECT_RI_27_202511.shp
2772035021,읍내리,27720,281,36.17927445257266,128.7250131114661,1.81,LSMD_ADM_SECT_RI_27_202511.shp
2772035023,수서리,27720,278,36.18240170632767,128.69599087713112,1.687,LSMD_ADM_SECT_RI_27_202511.shp
2772035027,지호리,27720,279,36.1707559749528,128.77824054281663,2.803,LSMD_ADM_SECT_RI_27_202511.shp
2772035029,매성리,27720,252,36.14627872655593,128.7546605179233,1.481,LSMD_ADM_SECT_RI_27_202511.shp
2772035031,금양리,27720,292,36.138743567408085,128.7386880577704,2.245,LSMD_ADM_SECT_RI_27_202511.shp
2772035025,파전리,27720,283,36.17479391836868,128.74030840505492,1.426,LSMD_ADM_SECT_RI_27_202511.shp
2772035026,신덕리,27720,274,36.18688704717753,128.76114403161472,2.65,LSMD_ADM_SECT_RI_27_202511.shp
2772035028,연계리,27720,286,36.16135730790647,128.75366626069712,1.731,LSMD_ADM_SECT_RI_27_202511.shp
2772035030,원산리,27720,287,36.15958843079653,128.72880492512977,2.013,LSMD_ADM_SECT_RI_27_202511.shp
2772036022,삼산리,27720,236,36.087588410264146,128.7095341790857,1.811,LSMD_ADM_SECT_RI_27_202511.shp
2772036023,봉림리,27720,233,36.09584620108317,128.72850817895466,2.803,LSMD_ADM_SECT_RI_27_202511.shp
2772036024,무암리,27720,232,36.10678708596084,128.71688017035788,2.191,LSMD_ADM_SECT_RI_27_202511.shp
2772036026,화본리,27720,245,36.12183341434607,128.7111574060969,2.705,LSMD_ADM_SECT_RI_27_202511.shp
2772037024,학성리,27720,280,36.15162713002935,128.79663712260222,4.822,LSMD_ADM_SECT_RI_27_202511.shp
2772037027,양지리,27720,237,36.16899330904248,128.82330720056808,3.185,LSMD_ADM_SECT_RI_27_202511.shp
